,name,ingredients,url,image,cookTime,recipeYield,datePublished,prepTime,description,difficulty
55,Salsa of the Year,3 T. VEGETABLE OIL  1 OUNCE DRIED MIRASOL (MILDER) OR SMOKED SERRANO (MORE HEAT) CHILIES GARLIC  12 SMALL TO MEDIUM CLOVES - PEELED ANOTHER 3 T. VEGETABLE OIL 1 1/4 CUPS VEGETABLE BROTH - STIR IN 1/3 CUP CREAM (OR TO TASTE) - FOR A SLIGHTLY CREAMY SAUCE THAT WILL ADD A BIT OF KICK TO A WIDE RANGE OF RECIPES. (THIS IS THE SAUCE YOU SEE IN THE PICTURES ON THIS POST). DRIZZLE ON SAVORY CREPES  EGG DISHES  CASSEROLES  ETC. - STIR A COUPLE TABLESPOONS INTO LIGHT OR VEGAN MAYO FOR A SPICY SANDWICH SPREAD. - SPREAD ON PANINI: WITH ALL SORTS OF FIXINGS.,http://www.101cookbooks.com/archives/000325.html,http://www.101cookbooks.com/mt-static/images/food/soty1.jpg,,Makes about 1 cup.,2005-08-21,,"Smoky and creamy, this salsa recipe is best drizzled over eggs, quesadilla, and crepes.",Unknown
56,A Quartet of Compound Butters,4 TABLESPOONS UNSALTED ORGANIC BUTTER  ROOM TEMPERATURE 1 OR 2 NUMI DESERT LIME TEA BAGS (DEPENDING ON HOW STRONG YOU WANT IT)  CUT OPEN AND THE CONTENTS GROUND IN A MORTAR AND PESTLE 1/4 TEASPOON FINE GRAIN SEA SALT 4 TABLESPOONS UNSALTED ORGANIC BUTTER  ROOM TEMPERATURE 1 TABLESPOON ORGANIC CANE SUGAR (I USED FLORIDA CRYSTALS) 1/3 CUP DEHYDRATED ORGANIC STRAWBERRIES  MINCED 4 TABLESPOONS UNSALTED ORGANIC BUTTER  ROOM TEMPERATURE 2 SERRANO CHILES  DEVEINED AND  SEEDED  LOOSELY CHOPPED 1/4 TEASPOON FINE GRAIN SEA SALT 4 TABLESPOONS UNSALTED ORGANIC BUTTER  ROOM TEMPERATURE 1 - 1 1/2 TEASPOONS SMOKED PAPRIKA 1/4 TEASPOON FINE GRAIN SEA SALT,http://www.101cookbooks.com/archives/001470.html,http://www.101cookbooks.com/mt-static/images/food/compoundbutter.jpg,,,2006-08-08,,"A quartet of vibrant, colorful, and unique compound butter recipes - Smoked Paprika, Dry Desert Lime, Raw Serrano, and Dehydrated Strawberry.  ",Unknown
57,My Favorite Grilled Kabob Recipe,MUHAMMARA SLATHER: 1 TABLESPOON CRUSHED RED PEPPER FLAKES OR 1 SMALL RED CHILE 1/2 TEASPOON GROUND CUMIN 3/4 CUP WALNUTS  TOASTED 1/4 CUP WHOLE-GRAIN  BREAD CRUMBS 1/4 CUP EXTRA-VIRGIN OLIVE OIL 2 TABLESPOONS POMEGRANATE MOLASSES 1/4 CUP TOMATO PASTE 2 TO 3 ROASTED RED PEPPERS 1/2 TO 1 CUP WARM WATER 1/2 TEASPOON FINE-GRAIN SEA SALT KABOBS 2 RED ONIONS  EACH CUT INTO 6 WEDGES 3 LEMONS  EACH CUT INTO 4 LENGTHWISE WEDGES 12 OUNCES EXTRA-FIRM TOFU  CUT INTO 12 EQUAL-SIZED CUBES 12 MUSHROOMS EXTRA-VIRGIN OLIVE OIL  FOR BRUSHING FINE-GRAIN SEA SALT SPECIAL EQUIPMENT: 6 WOODEN SKEWERS,http://www.101cookbooks.com/archives/my-favorite-grilled-kabob-recipe.html,http://www.101cookbooks.com/mt-static/images/food/grilledkabobsrecipe.jpg,,Makes 6 kabobs.,2007-06-27,,"A kabob recipe featuring grilled mushrooms, lemons, tofu red onions and a delicious red pepper walnut slather.",Unknown
58,Pineapple Rice Recipe,1/3 CUP MACADAMIA OIL  OLIVE OIL  OR SUNFLOWER OIL 2 TEASPOONS TOASTED SESAME OIL 1/4 CUP (FRESH OR CANNED) ALL-NATURAL 100% PINEAPPLE JUICE 1 GARLIC CLOVE 1/4 TEASPOON RED PEPPER FLAKES 2 TABLESPOONS SOY SAUCE (OR SHOYU) 1 CUP PINEAPPLE  CUT INTO CHUNKS 2 TEASPOONS FRESHLY GRATED GINGER 1/4 TEASPOON FINE GRAIN SEA SALT 4 HANDFULS OF MIZUNA  WATERCRESS  OR ARUGULA 2 1/2 CUPS COOKED BROWN RICE  ROOM TEMPERATURE 4 GREEN ONIONS  THINLY SLICED 3 SHALLOTS  PEELED AND THINLY SLICED 1 CUP CASHEWS  ROASTED/TOASTED AND CHOPPED 1/2 SMALL SERRANO CHILE  SEEDED AND DEVEINED  AND MINCED (OPTIONAL) 4 OUNCES SEITAN  CUT INTO LITTLE BITS AND PAN-FRIED (OPTIONAL),http://www.101cookbooks.com/archives/pineapple-rice-recipe.html,http://www.101cookbooks.com/mt-static/images/food/pineapple_rice_recipe.jpg,PT5M,,2009-09-15,PT15M,A nice platter of greens and brown rice doused in a spicy-salty-sweet pineapple dressing flecked with seitan. It's good hot or at room temperature.,Easy
59,Red Posole Recipe,1 POUND / 16 OZ / 453G DRIED READY-TO-COOK POSOLE / HOMINY (SEE HEAD NOTES) 1 SMALL WHITE ONION  DICED 3 MEDIUM GARLIC CLOVES  PEELED AND SMASHED 3 DRIED RED NEW MEXICAN CHILE PEPPERS  STEMS REMOVED (SEE HEAD NOTES) 1 TEASPOON DRIED MEXICAN OREGANO RED SAUCE: 2 TABLESPOONS EXTRA-VIRGIN OLIVE OIL 2 TABLESPOONS FINELY DICED WHITE ONION 2 MEDIUM CLOVES GARLIC  FINELY CHOPPED 1 TEASPOON DRIED OREGANO 2 TABLESPOONS FLOUR 1/2 TEASPOON GROUND CUMIN 1/2 CUP / 2 OZ / 50G GROUND RED CHILE (SEE HEAD NOTES) 1/2 TEASPOON FINE GRAIN SEA SALT A QUARTER OF ONE LIME,http://www.101cookbooks.com/archives/red-posole-recipe.html,http://www.101cookbooks.com/mt-static/images/food/red_posole_recipe.jpg,PT20M,,2009-12-24,PT240M,"A big pot of red posole made on a stormy day. A brick-red brothy sauce surrounds the posole, and individual bowls are topped with thin wisps of pan-fried tortillas, a pinch of toasted Mexican oregano, and a bit of crumbled feta.",Hard
60,Dried Fava Soup with Mint and Guajillo Chiles,1 POUND / 16 OZ / 450G HULLED DRY FAVA BEANS  RINSED (SEE PHOTO FOR REFERENCE IF NEEDED) 8 CUPS / 2 LITERS GOOD VEGETABLE BROTH OR WATER 6 GARLIC CLOVES  UNPEELED 1 LARGE WHITE ONION  SLICED 1/2-INCH / 1 CM THICK 1 1/2 POUNDS / 24 OZ / 680G RIPE TOMATOES 6 MEDIUM DRIED GUAJILLO OR PASILLA CHILES  STEMMED &AMP; SEEDED 2 TABLESPOONS EXTRA VIRGIN OLIVE OIL 2 TABLESPOONS CIDER VINEGAR 3/4 TEASPOON DRIED MEXICAN OREGANO 1 1/2 TEASPOON FINE-GRAIN SEA SALT  PLUS MORE TO TASTE 1/2 CUP / .25 OZ / 10G LOOSELY PACKED CHOPPED CILANTRO 2 TABLESPOONS CHOPPED FRESH MINT  PREF. SPEARMINT 1/2 CUP / 2 OZ / 55G CRUMBLED MEXICAN QUESO ANEJO OR FETA,http://www.101cookbooks.com/archives/dried-fava-soup-with-mint-and-guajillo-chiles-recipe.html,http://www.101cookbooks.com/mt-static/images/food/fava_soup_recipe.jpg,PT100M,,2010-09-15,PT10M,"Easily one of the best, most interesting soups I've cooked in years. Adapted from a recipe in Rick Bayless's Mexican Kitchen - a dried fava bean and roasted tomato base topped with a fascinating cider-kissed tangy/sweet quick-pickled chile topping.",Hard
61,Ottolenghi Soba Noodles,1/2 CUP / 120 ML BROWN RICE VINEGAR SCANT 1/3 CUP / 1.5 OZ / 40 G FINE-GRAIN NATURAL CANE SUGAR OR BROWN SUGAR 1/2 TEASPOON FINE GRAIN SEA SALT 2 GARLIC CLOVES  PEELED AND CRUSHED 1/4 TEASPOON RED PEPPER FLAKES OR 1/2 FRESH RED CHILE  MINCED 1 TEASPOON TOASTED SESAME OIL GRATED ZEST AND JUICE OF ONE LIME 1/3 CUP / 80 ML SUNFLOWER OIL OR OLIVE OIL 1 MEDIUM EGGPLANT/AUBERGINE 3/4 LB / 12 OZ  CUT INTO 1/2-INCH / 1CM CHUNKS 8 OUNCES / 225G DRIED SOBA NOODLES 1 LARGE RIPE MANGO  CUT INTO SMALL CHUNKS 8 OUNCES GRILLED OR PAN-FRIED TOFU  CUT INTO TINY CUBES 1/2 MEDIUM RED ONION  VERY THINLY SLICED A HANDFUL OF BASIL LEAVES  SLIVERED A HANDFUL OF FRESH CILANTRO / CORIANDER  CHOPPED,http://www.101cookbooks.com/archives/ottolenghi-soba-noodles-with-aubergine-and-mango-recipe.html,http://www.101cookbooks.com/mt-static/images/food/ottolenghi_soba_noodles.jpg,PT30M,,2010-10-26,PT15M,"Spicy brown sugar and lime-sauced soba noodles with tofu, eggplant, mango and lots of herbs. Inspired by a rare mango find, and a recipe in Yotam Ottolenghi's cookbook, Plenty.",Medium
62,Cucumber Peanut Salad,3 MEDIUM CUCUMBERS  PARTIALLY PEELED 1-2 GREEN SERRANO CHILES  STEMMED AND MINCED 1/2 CUP / 2.5 OUNCES / 70 G PEANUTS  TOASTED 1/3 CUP / 1.5 OUNCES / 45 G DRIED LARGE-FLAKE COCONUT  TOASTED 2 TABLESPOONS FRESH LEMON JUICE 1 TEASPOON NATURAL CANE SUGAR 1 TABLESPOON  GHEE  CLARIFIED BUTTER  OR SUNFLOWER OIL 1/2 TEASPOON BLACK MUSTARD SEEDS 1/4 TEASPOON CUMIN SEEDS SCANT 1/2 TEASPOON FINE GRAIN SEA SALT A HANDFUL CILANTRO  CHOPPED,http://www.101cookbooks.com/archives/cucumber-peanut-salad-recipe.html,http://www.101cookbooks.com/mt-static/images/food/cucumber_peanut_salad_recipe.jpg,PT3M,,2011-05-03,PT10M,"We picked two new cookbooks to focus on in the 101 Cookbooks Library, and this recipe is inspired by a recipe from one of them. A refreshing chopped cucumber salad loaded with peanuts, spices, coconut, and chiles.",Easy
63,Sunchoke and Cashew Stir-fry,1 TEASPOON PEANUT OR SUNFLOWER OIL 1 EGG  BEATEN 1 TABLESPOON PEANUT OR SUNFLOWER OIL  PLUS MORE IF NEEDED 1 TABLESPOON MINCED GINGER 2 CLOVES MINCED GARLIC 3 MEDIUM SHALLOTS  CHOPPED 1/2 SERRANO CHILE PEPPER  DEVEINED AND MINCED 1 CUP VERY THINLY SLICED SUNCHOKES  WELL SCRUBBED KERNELS FROM 2 EARS OF CORN 1 1/2 - 2 CUPS DAY-OLD  COOKED BROWN RICE 1 EGG  BEATEN (OPTIONAL) 1 TABLESPOON SOY SAUCE  PLUS MORE TO TASTE 1/3 CUP TOASTED ALMOND SLICES 1/2 CUP TOASTED CASHEWS FINE GRAIN SEA SALT AND PEPPER  TO TASTE PLENTY OF CHOPPED FRESH BASIL,http://www.101cookbooks.com/archives/sunchoke-and-cashew-stirfry-recipe.html,http://www.101cookbooks.com/mt-static/images/food/sunchoke_cashew_stirfry_recipe.jpg,PT3M,"Serves 2-3 as a main course, more as part of a larger multi-course meal.",2012-07-12,PT10M,"A beautiful fried rice made with brown rice, egg, sunchokes, cashews, and basil when Grace Young came over for lunch last week.",Easy
64,Baked Carrot Oven Fries,A BIG BUNCH OF FARMERS' MARKET CARROTS  WASHED  TRIMMED EXTRA VIRGIN OLIVE OIL SEA SALT 4 OUNCES ORGANIC TOFU 1/4 CUP ORANGE JUICE QUICK SQUEEZE OF LIME SCANT 1 TEASPOON ADOBO SAUCE FROM A CAN OF CHIPOTLE CHILES 1/2 TEASPOON FINE GRAIN SEA SALT,http://www.101cookbooks.com/archives/001529.html,http://www.101cookbooks.com/mt-static/images/food/bakedcarrotfries1.jpg,,,2006-11-20,,"Made from carrots, this is a healthy, simple and delicious alternative to deep-fried potatoes. These baked oven fries (made from carrots) are simply roasted with olive oil and a sprinkling of sea salt. 
",Unknown
65,Fourth of July Roasted Tomato Salsa Recipe,2 POUNDS ROMA TOMATOES  CUT IN HALF LENGTHWISE 1 MEDIUM WHITE ONION  CUT INTO SIX WEDGES 1 LARGE GARLIC CLOVE  HALVED A COUPLE PINCHES OF FINELY GROUND SEA SALT 2-3 TABLESPOONS OF EXTRA-VIRGIN OLIVE OIL 1 MEDIUM DRIED GUAJILLO CHILE PEPPER  SOAKED IN BOILING WATER UNTIL SOFTENED  AND THEN DRAINED 1 -2 CHIPOTLES IN ADOBO SAUCE (CANNED) 1/2 CUP CILANTRO  ROUGHLY CHOPPED,http://www.101cookbooks.com/archives/fourth-of-july-roasted-tomato-salsa-recipe.html,http://www.101cookbooks.com/mt-static/images/food/salsarecipe_07.jpg,,Makes about 2 1/2 cups.,2007-07-01,,"A deliciously vibrant, earthy, and slightly smoky-tasting salsa recipe. Different from salsa fresca, the deep, caramelized flavors of the roasted tomatoes and onions alongside the smokiness of the chipotles make for a richly beautiful and balanced salsa. ",Unknown
66,Sunburst Carrot Salad Recipe,2 BUNCHES CARROTS  PREFERABLY SPRING CARROTS EXTRA VIRGIN OLIVE OIL FINE GRAIN SEA SALT 1 GREEN CHILE (SERRANO)  DEVEINED AND MINCED 1 LEMON  ZEST AND JUICE 1 CUP CILANTRO  CHOPPED 1 CUP GREEN PUMPKIN SEEDS (PEPITAS)  TOASTED,http://www.101cookbooks.com/archives/sunburst-carrot-salad-recipe.html,http://www.101cookbooks.com/mt-static/images/food/carrot_salad_recipe_08.jpg,,Serves 4 to 6.,2008-04-03,,"A favorite carrot salad recipe - carrot ribbons sauteed in a bit of salt and olive oil and finished off with lemon zest, finely chopped serrano chiles, a quick squeeze of lemon juice, and lots of cilantro.  ",Unknown
67,In a Hurry Green Curry Recipe,2 TEASPOONS GREEN CURRY PASTE* SCANT 1/2  TEASPOON SALT 1 14-OUNCE CAN COCONUT MILK (LIGHT OK) 1 LARGE ONION  SLICED 14 OUNCES WATER OR LIGHT VEGETABLE BROTH 6 OUNCES OF FIRM TOFU CUT INTO 1/2 INCH CUBES 1 CUP PEAS  FRESH OR FROZEN 2 CUPS ASPARAGUS  CUT INTO 1/2-INCH SEGMENTS SQUEEZE OF FRESH LIME JUICE 1/4 CUP SMALL BASIL LEAVES 2 GREEN HOT CHILIES (THAI CHILIES) 1 TABLESPOON CHOPPED GARLIC 1 TABLESPOON CHOPPED SHALLOTS 1 TEASPOON CHOPPED GALANGAL 1/2 TEASPOON CHOPPED KAFFIR LIME RIND 1 TABLESPOON CHOPPED LEMONGRASS 1 TABLESPOON CHOPPED KRACHAI 1/4 TEASPOON ROASTED CUMIN SEEDS 1/4 TEASPOON ROASTED CORIANDER SEEDS 1/2 TEASPOON SALT,http://www.101cookbooks.com/archives/in-a-hurry-green-curry-recipe.html,http://www.101cookbooks.com/mt-static/images/food/light_greencurry_recipe.jpg,,Serves 4.,2008-05-15,,"A quick and delicious green curry recipe - peas, asparagus, and tofu swimming in a fragrant, not-overly-rich Thai green chile broth.",Unknown
68,Lime &amp; Peanut Coleslaw Recipe,1 1/2 CUPS UNSALTED RAW PEANUTS 1/2 OF A MEDIUM-LARGE CABBAGE 1 BASKET OF TINY CHERRY TOMATOES  WASHED AND QUARTERED 1 JALAPENO CHILE  SEEDED AND DICED 3/4 CUP CILANTRO  CHOPPED 1/4 CUP FRESHLY SQUEEZED LIME JUICE 2 TABLESPOONS OLIVE OIL 1/4 TEASPOON + FINE-GRAIN SEA SALT,http://www.101cookbooks.com/archives/lime-peanut-coleslaw-recipe.html,http://www.101cookbooks.com/mt-static/images/food/coleslaw_recipe.jpg,,Serves 6 as a side.,2008-07-02,,"This feather-light, mayo-free, coleslaw recipe uses toasted peanuts, cherry tomatoes, and lime vinaigrette and is perfect alongside fajitas, or whatever you have coming off the grill. Keep in mind - great coleslaw is rooted in great knife skills. ",Unknown
69,Pepita Salad Recipe,1 CUP PEPITAS  TOASTED (DIVIDED) 1 CUP CILANTRO LEAVES AND STEMS  WELL WASHED AND LIGHTLY PACKED 1/3 CUP PARMESAN CHEESE  FRESHLY GRATED 3 MEDIUM CLOVES GARLIC  PEELED JUICE OF 1 MEDIUM LEMON 1 SERRANO CHILE PEPPER  MINCED 2/3 CUP EXTRA-VIRGIN OLIVE OIL 4 CUPS COOKED YELLOW SPLIT PEAS* 2 HANDFULS LETTUCE  TORN INTO BITE-SIZED PIECES,http://www.101cookbooks.com/archives/pepita-salad-recipe.html,http://www.101cookbooks.com/mt-static/images/food/pepita_salad_recipe.jpg,,Serves 6 or so.,2008-10-20,,"A great pepita salad that can brighten up any table. Made from a simple combination of yellow split peas, toasted pepitas, and cilantro pesto.",Unknown
70,Lentil Almond Stir-Fry Recipe,MINT SAUCE (OPTIONAL) 1 CUP FRESH MINT LEAVES 1/2 SERRANO CHILE PEPPER  DE-VEINED AND SEEDED 2 TABLESPOONS OLIVE OIL PINCH OF SALT A TOUCH OF SUGAR  OR HONEY  OR AGAVE NECTAR 1 TABLESPOON LEMON JUICE EXTRA-VIRGIN OLIVE OIL 6 TO 8 VERY SMALL NEW POTATOES  CUT INTO 1/2 PIECES 2 CUPS COOKED BROWN OR BLACK LENTILS 12 BRUSSELS SPROUTS  TRIMMED AND QUARTERED 1/4 CUP SLICED ALMONDS  TOASTED 1/3 CUP PLAIN GREEK YOGURT  THINNED OUT WITH A BIT OF WATER  AND SALTED WITH A PINCH OF SALT 2 DATES  PITTED AND CHOPPED,http://www.101cookbooks.com/archives/lentil-almond-stirfry-recipe.html,http://www.101cookbooks.com/mt-static/images/food/lentil_almond_stirfry.jpg,,Serves 2-3.,2009-01-03,,"A good cold-weather stir-fry recipe. Tiny potatoes, brussels sprout wedges, toasted almonds and lentils are served with a drizzle of mint and a bit of thinned-out, salted plain yogurt, and a sprinkling of chopped dates.",Unknown
71,Adzuki Butternut Squash Soup Recipe,2 TABLESPOONS OLIVE OIL 1 TEASPOON CINNAMON 1 TEASPOON (DRIED) CORIANDER 2 TEASPOONS FINELY CHOPPED CHIPOTLE PEPPER (FROM CAN  OR REHYDRATED FROM DRIED CHILE) 2 TEASPOONS FINE GRAIN SEA SALT 2 MEDIUM-LARGE ONIONS 6 CLOVES GARLIC  MINCED 4 CUPS BUTTERNUT SQUASH  PEELED AND CUT INTO 1/4-INCH DICE 5 - 6 CUPS WATER 5 WHOLE CANNED TOMATOES  CHOPPED 4 CUPS COOKED OR CANNED ADZUKI BEANS CILANTRO DRIZZLE (OPTIONAL)*,http://www.101cookbooks.com/archives/adzuki-butternut-squash-soup-recipe.html,http://www.101cookbooks.com/mt-static/images/food/adzuki_butternut_squash_soup.jpg,,Serves about 8.,2009-02-11,,A hearty adzuki and butternut squash soup recipe adapted from Jae Steele's Get It Ripe cookbook. The soup has a bit of chipotle flavor and is made even better with a drizzle of cilantro olive oil prior to serving.,Unknown
72,Carrot Soup Recipe,1 1/4 POUNDS CARROTS 1 TABLESPOON EXTRA-VIRGIN OLIVE OIL (OR CLARIFIED BUTTER) 2 MEDIUM CLOVES GARLIC  MINCED 1 LARGE YELLOW ONION  CHOPPED 3 CUPS+ VEGETABLE STOCK OR WATER JUICE OF 1/2 A LEMON FINE GRAIN SEA SALT (AS MUCH AS YOU NEED) - OLIVE OIL  TOASTED SESAME OIL  OR RED CHILE OIL FOR A FINISHING DRIZZLE - IF YOU USE TOASTED SESAME OIL (SOMETIMES LABELED PURE SESAME OIL) IT IS VERY STRONG. I TYPICALLY DILUTE IT WITH OLIVE OIL. I USE ONE PART SESAME OIL TO FOUR PARTS OLIVE OIL.,http://www.101cookbooks.com/archives/carrot-soup-recipe.html,http://www.101cookbooks.com/mt-static/images/food/carrot_soup_recipe.jpg,,Serves about 4.,2009-04-08,,"A simple, weeknight carrot soup recipe finished with a thread of toasted sesame oil. You can leave it slightly chunky, or puree it until smooth - whatever your preference.",Unknown
73,Fresh Pea Salad Recipe,1 CUP FRESH MINT LEAVES 2 DRIED DATES  PITTED 1/2 OF A SMALL SERRANO CHILE  STEM REMOVED A SQUEEZE OF FRESH LEMON JUICE AND ZEST FROM THAT LEMON 1 1/2 CUPS FRESH PEAS 1 SMALL HEAD OF ROMAINE LETTUCE  CUT INTO SHREDS 1/2 CUP TOASTED PUMPKIN SEEDS FINE GRAIN SEA SALT,http://www.101cookbooks.com/archives/fresh-pea-salad--recipe.html,http://www.101cookbooks.com/mt-static/images/food/fresh_pea_salad_recipe.jpg,,Serves 2 - 4.,2009-04-22,,"A pea salad jazzed up with spicy mint-date dressing and tossed with shredded romaine and toasted pumpkin seeds for crunch and texture. A tasty, off-beat, almost burner-free recipe.",Unknown
74,Green Curry Broth,1 TABLESPOON CORIANDER SEEDS 1 1/2 TEASPOON WHOLE CUMIN SEEDS 2 TABLESPOONS COCONUT OIL  CLARIFIED BUTTER  OR OLIVE OIL 4 SHALLOTS  THINLY SLICED 4 MEDIUM GARLIC CLOVES  FINELY CHOPPED 4 SMALL SERRANO CHILE PEPPERS  THINLY SLICED (SEE HEAD NOTES) 3 LEMONGRASS STALKS  MINCED (SEE HEAD NOTES!) A 1 1/2-INCH PIECE OF GINGER  PEELED THEN GRATED 8 GREEN ONIONS  TRIMMED  THINLY SLICED 1/8 TEASPOON TURMERIC POWDER 1/4 CUP / 60 ML FRESHLY SQUEEZED LIME JUICE &AMP; A BIT OF ZEST 6 - 7 CUPS / 1.5 LITERS / 1.5 QUARTS GOOD-TASTING VEGETABLE BROTH 12 OUNCES / 340 G TOFU  CUT INTO TINY CUBES  OR  6 OZ TOFU CUBES + 6 OZ YUBA SKINS  CUT INTO THIN STRIPS KERNELS FROM 2 EARS OF CORN 4 HANDFULS OF TORN SPINACH  STEMS TRIMMED A SMALL HANDFUL OF EACH OF THE FOLLOWING: FRESH MINT  FRESH CILANTRO  FRESH BASIL  ALL CHOPPED JUST BEFORE SERVING AND COMBINED IN A SMALL BOWL,http://www.101cookbooks.com/archives/green-curry-broth-recipe.html,http://www.101cookbooks.com/mt-static/images/food/green_curry_broth_recipe.jpg,PT15M,Serves 4.,2010-08-24,PT20M,"A beautiful, thin green curry broth, fragrant with garlic, lemongrass, and ginger. It gets heat from serrano chiles, and zings of tanginess from fresh lime juice. Cumin and coriander seeds keep things grounded, and a flurry of freshly chopped herbs make the sky open up.",Medium
75,Zucchini Pickles,3 MEDIUM ZUCCHINI (1 POUND / 16 OZ / 450 G)  THINLY SLICED  1 MEDIUM WHITE ONION  THINLY SLICED  3 SHALLOTS  THINLY SLICED  1 1/2 TABLESPOONS FINE GRAIN SEA SALT  1/4 CUP (SMALL HANDFUL) FRESH DILL SPRIGS 1 SMALL FRESH RED CHILE PEPPER  VERY THINLY SLICED 1/2 TABLESPOON YELLOW MUSTARD SEEDS  3/4 CUP / 180 ML CIDER VINEGAR  3/4 CUP / 180 ML WHITE WINE VINEGAR  1/3 CUP / 1.75 OZ / 50G NATURAL CANE SUGAR,http://www.101cookbooks.com/archives/quick-pickled-zucchini-recipe.html,http://www.101cookbooks.com/mt-static/images/food/pickled_zucchini_recipe.jpg,PT5M,Makes one large jar.,2010-09-08,PT120M,"I've been making these coin-shaped zucchini pickles all summer. They're quick to make, great to have on hand, and I don't bother canning them. Delicious on crusty, goat-cheese slathered grilled bread (or just about anything cheesy or crunchy) and simple salads.",Hard
76,Spiced Cauliflower with Sesame Seeds,1 1/2 TABLESPOONS EXTRA-VIRGIN OLIVE OIL OR CLARIFIED BUTTER 1 TEASPOON CUMIN SEEDS 2 MEDIUM YELLOW ONIONS  FINELY SLICED A PINCH OF TURMERIC FINE GRAIN SEA SALT 1 MEDIUM / 12 OZ CAULIFLOWER  THINLY SLICED  4 DRIED RED CHILES  STEMMED AND HALVED 1-2 TEASPOON SESAME SEEDS  LIGHTLY TOASTED 1 GARLIC CLOVE  GRATED 4 CM / 1 1/2-INCH PIECE OF FRESH GINGER  PEELED AND FINELY GRATED 1-2 GREEN JALAPENO CHILES  SEEDS REMOVED  FINELY CHOPPED 2-3 TABLESPOONS CHOPPED FRESH CILANTRO / CORIANDER,http://www.101cookbooks.com/archives/spicy-cauliflower-with-sesame-recipe.html,http://www.101cookbooks.com/mt-static/images/food/spicy_cauliflower_recipe.jpg,PT15M,,2010-11-10,PT20M,"Cauliflower tastes great like this. Imagine a skillet of caramelized onions cooked down with fragrant cumin, ginger, garlic, sesame seeds and chiles. Add cauliflower and cook until tender. Vibrant, spicy, sweet earthiness, all on one plate.",Medium
77,Green Pea Soup Recipe,3 TABLESPOONS FRESH GINGER  WELL CHOPPED 10 SM-MED CLOVES GARLIC  SMASHED AND PEELED 2 SERRANO CHILES  STEMMED AND CHOPPED 1/4 TEASPOON GROUND CUMIN  PLUS MORE TO SERVE 3 TABLESPOONS GHEE OR SUNFLOWER OIL 2 BAY LEAVES 1 MEDIUM ONION  CHOPPED 4 1/2 CUPS GOOD-TASTING VEGETABLE STOCK OR WATER 3 1/2 CUPS / 500 G / 18 OZ SHELLED FRESH OR FROZEN PEAS 1 TEASPOON SEA SALT  OR TO TASTE A SQUEEZE OF FRESH LEMON JUICE 8 FRESH MINT LEAVES  SLIVERED PAN-FRIED PANEED  QUESO FRESCO  OR HALOUMI  CUT INTO TINY CUBES - OPTIONAL,http://www.101cookbooks.com/archives/green-pea-soup-recipe.html,http://www.101cookbooks.com/mt-static/images/food/pea_soup_recipe.jpg,PT10M,Serves 4 - 6.,2011-05-31,PT7M,"A simple Indian-spiced green pea soup, and a few snapshots of things I'm bringing with me in a move up the street.",Easy
78,Spicy Lemon Coconut Sauce,1 CLOVE GARLIC  PEELED 1 MEDIUM JALAPENO (OR SERRANO) CHILE  DESEEDED AND CHOPPED 1/2 TEASPOON FINE GRAIN SEA SALT  PLUS MORE TO TASTE 1 TABLESPOONS SUNFLOWER OIL 1 SMALL BUNCH OF SCALLIONS  THINLY SLICED (~8 SCALLIONS) 1/2 CUP FINELY CHOPPED CILANTRO 1 14-OUNCE CAN OF COCONUT MILK (FULL FAT) 3 TABLESPOONS FRESHLY SQUEEZED LEMON JUICE  PLUS MORE TO TASTE,http://www.101cookbooks.com/archives/spicy-lemon-coconut-sauce-recipe.html,http://www.101cookbooks.com/mt-static/images/food/spicy_lemon_coconut_sauce.jpg,,Makes about 2 1/2 cups.,2012-04-27,PT5M,"A spicy lemon coconut sauce that is good on just about everything - noodles, frittatas, soups. Keep a jar in the refrigerator, and you can use it to make things a little special throughout the week.",Easy
79,Yellow Bean Salad,1 POUND / 16 OZ YELLOW RUNNER BEANS 1 SERRANO CHILE  STEMMED AND SEEDED 5 GREEN ONIONS  GREEN PARTS TRIMMED &AMP; RESERVED A BIG HANDFUL OF CILANTRO 1 CLOVE GARLIC  PEELED AND SMASHED 3/4 TEASPOON FINE GRAIN SEA SALT 1 TABLESPOON SUNFLOWER OIL 1 CUP COCONUT MILK  WELL MIXED 1- 2 TABLESPOONS FRESHLY SQUEEZED LEMON JUICE  OR TO TASTE 2 BIG HANDFULS / 1/2 CUP TOASTED PEPITAS 1 1/2 CUPS TINY PAN-FRIED TOFU CUBES  OPTIONAL BASIL FLOWER GARNISH  OPTIONAL,http://www.101cookbooks.com/archives/yellow-bean-salad-recipe.html,http://www.101cookbooks.com/mt-static/images/food/yellow_bean_salad_recipe.jpg,PT10M,,2012-08-19,PT10M,"A summer yellow bean salad with a green chile-spiked, cilantro-flecked, and coconut milk dressing, toasted pepitas, and (if you want to make a meal of it) pan-fried tofu.",Easy
